measure,country_name,median,percentile
mode,Argentina,0.0,0.0
mode,Belarus,0.0,0.0
mode,Brazil,0.0,0.0
mode,Bulgaria,0.0,0.0
mode,Chile,0.0,0.0
mode,Colombia,0.0,0.0
mode,Ecuador,0.0,0.0
mode,Egypt,0.0,0.0
mode,El Salvador,0.0,0.0
mode,France,0.0,0.0
mode,Greece,0.0,0.0
mode,Guatemala,0.0,0.0
mode,Honduras,0.0,0.0
mode,Hungary,0.0,0.0
mode,Israel,0.0,0.0
mode,Kazakhstan,0.0,0.0
mode,Luxembourg,0.0,0.0
mode,Mexico,0.0,0.0
mode,Morocco,0.0,0.0
mode,Pakistan,0.0,0.0
mode,Panama,0.0,0.0
mode,Peru,0.0,0.0
mode,Poland,0.0,0.0
mode,Portugal,0.0,0.0
mode,Romania,0.0,0.0
mode,Spain,0.0,0.0
mode,Turkey,0.0,0.0
mode,Ukraine,0.0,0.0
mode,"Venezuela, Bolivarian Republic of",0.0,0.0
mode,Finland,0.0,0.0
mode,Saudi Arabia,1.0,0.4166666666666667
mode,Austria,1.0,0.4166666666666667
mode,Belgium,1.0,0.4166666666666667
mode,"Bolivia, Plurinational State of",1.0,0.4166666666666667
mode,Canada,1.0,0.4166666666666667
mode,Costa Rica,1.0,0.4166666666666667
mode,Czech Republic,1.0,0.4166666666666667
mode,Denmark,1.0,0.4166666666666667
mode,Dominican Republic,1.0,0.4166666666666667
mode,Estonia,1.0,0.4166666666666667
mode,Australia,1.0,0.4166666666666667
mode,Germany,1.0,0.4166666666666667
mode,Hong Kong,1.0,0.4166666666666667
mode,Iceland,1.0,0.4166666666666667
mode,India,1.0,0.4166666666666667
mode,Indonesia,1.0,0.4166666666666667
mode,Ireland,1.0,0.4166666666666667
mode,Italy,1.0,0.4166666666666667
mode,Japan,1.0,0.4166666666666667
mode,"Korea, Republic of",1.0,0.4166666666666667
mode,Latvia,1.0,0.4166666666666667
mode,Lithuania,1.0,0.4166666666666667
mode,Malaysia,1.0,0.4166666666666667
mode,Netherlands,1.0,0.4166666666666667
mode,New Zealand,1.0,0.4166666666666667
mode,Nicaragua,1.0,0.4166666666666667
mode,Nigeria,1.0,0.4166666666666667
mode,Norway,1.0,0.4166666666666667
mode,Paraguay,1.0,0.4166666666666667
mode,Philippines,1.0,0.4166666666666667
mode,,1.0,0.4166666666666667
mode,Singapore,1.0,0.4166666666666667
mode,Slovakia,1.0,0.4166666666666667
mode,South Africa,1.0,0.4166666666666667
mode,Sweden,1.0,0.4166666666666667
mode,Switzerland,1.0,0.4166666666666667
mode,"Taiwan, Province of China",1.0,0.4166666666666667
mode,Thailand,1.0,0.4166666666666667
mode,United Arab Emirates,1.0,0.4166666666666667
mode,United Kingdom,1.0,0.4166666666666667
mode,United States,1.0,0.4166666666666667
mode,Uruguay,1.0,0.4166666666666667
mode,Viet Nam,1.0,0.4166666666666667
instrumentalness,Iceland,0.0,0.0
instrumentalness,Hong Kong,0.0,0.0
instrumentalness,Panama,0.0,0.0
instrumentalness,Paraguay,0.0,0.0
instrumentalness,Guatemala,0.0,0.0
instrumentalness,Philippines,0.0,0.0
instrumentalness,Poland,0.0,0.0
instrumentalness,France,0.0,0.0
instrumentalness,Italy,0.0,0.0
instrumentalness,Argentina,0.0,0.0
instrumentalness,"Korea, Republic of",0.0,0.0
instrumentalness,Malaysia,0.0,0.0
instrumentalness,Japan,0.0,0.0
instrumentalness,Israel,0.0,0.0
instrumentalness,Netherlands,0.0,0.0
instrumentalness,Nicaragua,0.0,0.0
instrumentalness,Uruguay,0.0,0.0
instrumentalness,Canada,0.0,0.0
instrumentalness,Bulgaria,0.0,0.0
instrumentalness,Brazil,0.0,0.0
instrumentalness,"Bolivia, Plurinational State of",0.0,0.0
instrumentalness,Chile,0.0,0.0
instrumentalness,"Venezuela, Bolivarian Republic of",0.0,0.0
instrumentalness,Belarus,0.0,0.0
instrumentalness,Singapore,0.0,0.0
instrumentalness,Egypt,0.0,0.0
instrumentalness,Denmark,0.0,0.0
instrumentalness,"Taiwan, Province of China",0.0,0.0
instrumentalness,Costa Rica,0.0,0.0
instrumentalness,Thailand,0.0,0.0
instrumentalness,Colombia,0.0,0.0
instrumentalness,Hungary,1.06e-06,0.4305555555555556
instrumentalness,Mexico,1.07e-06,0.4444444444444444
instrumentalness,India,1.11e-06,0.4583333333333333
instrumentalness,United States,1.12e-06,0.4722222222222222
instrumentalness,Greece,1.14e-06,0.4861111111111111
instrumentalness,Peru,1.21e-06,0.5
instrumentalness,Honduras,1.21e-06,0.5
instrumentalness,El Salvador,1.21e-06,0.5
instrumentalness,Sweden,1.33e-06,0.5416666666666666
instrumentalness,Turkey,1.42e-06,0.5555555555555556
instrumentalness,Viet Nam,1.69e-06,0.5694444444444444
instrumentalness,Morocco,1.73e-06,0.5833333333333334
instrumentalness,Ecuador,1.98e-06,0.5972222222222222
instrumentalness,Spain,1.98e-06,0.5972222222222222
instrumentalness,Norway,2e-06,0.625
instrumentalness,Australia,2.31e-06,0.6388888888888888
instrumentalness,United Kingdom,2.36e-06,0.6527777777777778
instrumentalness,Slovakia,2.48e-06,0.6666666666666666
instrumentalness,Ireland,2.62e-06,0.6805555555555556
instrumentalness,,2.64e-06,0.6944444444444444
instrumentalness,New Zealand,2.75e-06,0.7083333333333334
instrumentalness,United Arab Emirates,3.23e-06,0.7222222222222222
instrumentalness,Dominican Republic,3.23e-06,0.7222222222222222
instrumentalness,Romania,3.29e-06,0.75
instrumentalness,Belgium,3.33e-06,0.7638888888888888
instrumentalness,Luxembourg,3.37e-06,0.7777777777777778
instrumentalness,Switzerland,3.85e-06,0.7916666666666666
instrumentalness,Czech Republic,4.15e-06,0.8055555555555556
instrumentalness,Pakistan,4.23e-06,0.8194444444444444
instrumentalness,Austria,4.63e-06,0.8333333333333334
instrumentalness,Germany,5.36e-06,0.8472222222222222
instrumentalness,Portugal,5.72e-06,0.8611111111111112
instrumentalness,Ukraine,6.09e-06,0.875
instrumentalness,Latvia,6.35e-06,0.8888888888888888
instrumentalness,Saudi Arabia,6.35e-06,0.8888888888888888
instrumentalness,Indonesia,8.64e-06,0.9166666666666666
instrumentalness,Kazakhstan,9.01e-06,0.9305555555555556
instrumentalness,Finland,1.61e-05,0.9444444444444444
instrumentalness,Nigeria,3.28e-05,0.9583333333333334
instrumentalness,Estonia,3.86e-05,0.9722222222222222
instrumentalness,Lithuania,4.7e-05,0.9861111111111112
instrumentalness,South Africa,0.0007925,1.0
loudness,South Africa,-8.343,0.0
loudness,Israel,-8.24,0.013888888888888888
loudness,Viet Nam,-7.797,0.027777777777777776
loudness,Pakistan,-7.73,0.041666666666666664
loudness,Morocco,-7.715,0.05555555555555555
loudness,Turkey,-7.675,0.06944444444444445
loudness,Iceland,-7.653,0.08333333333333333
loudness,Indonesia,-7.514,0.09722222222222222
loudness,Philippines,-7.272,0.1111111111111111
loudness,India,-7.193,0.125
loudness,Greece,-6.936,0.1388888888888889
loudness,Czech Republic,-6.894,0.1527777777777778
loudness,Nigeria,-6.873,0.16666666666666666
loudness,Kazakhstan,-6.839,0.18055555555555555
loudness,Malaysia,-6.785,0.19444444444444445
loudness,Sweden,-6.743,0.20833333333333334
loudness,Portugal,-6.703,0.2222222222222222
loudness,Poland,-6.7,0.2361111111111111
loudness,Lithuania,-6.679,0.25
loudness,Hungary,-6.653,0.2638888888888889
loudness,Norway,-6.64,0.2777777777777778
loudness,Ukraine,-6.601,0.2916666666666667
loudness,Ireland,-6.549,0.3055555555555556
loudness,New Zealand,-6.538,0.3194444444444444
loudness,France,-6.525,0.3333333333333333
loudness,Germany,-6.502,0.3472222222222222
loudness,Slovakia,-6.404,0.3611111111111111
loudness,Hong Kong,-6.401,0.375
loudness,Latvia,-6.364,0.3888888888888889
loudness,United States,-6.361000000000001,0.4027777777777778
loudness,Belarus,-6.361,0.4166666666666667
loudness,Austria,-6.333,0.4305555555555556
loudness,Estonia,-6.294,0.4444444444444444
